channel_id,rel_x,rel_y,ccf_ap,ccf_dv,ccf_ml,region_id,acronym
76,758.0,930.0,9581.437902619504,3463.0408741956508,5742.896739901875,872,DR
77,790.0,930.0,9581.437902619504,3463.9356291157087,5774.884228293948,872,DR
78,758.0,945.0,9579.157916035583,3448.22096140017,5743.311282917133,872,DR
79,790.0,945.0,9579.157916035583,3449.115716320228,5775.298771309206,872,DR
80,758.0,960.0,9576.877929451664,3433.4010486046895,5743.725825932392,872,DR
81,790.0,960.0,9576.877929451664,3434.2958035247475,5775.713314324465,872,DR
82,758.0,975.0,9574.597942867744,3418.581135809209,5744.14036894765,872,DR
83,790.0,975.0,9574.597942867744,3419.475890729267,5776.127857339723,872,DR
84,758.0,990.0,9572.317956283823,3403.761223013729,5744.554911962907,872,DR
85,790.0,990.0,9572.317956283823,3404.6559779337867,5776.542400354981,872,DR
86,758.0,1005.0,9570.037969699904,3388.9413102182484,5744.969454978165,872,DR
87,790.0,1005.0,9570.037969699904,3389.8360651383064,5776.956943370239,872,DR
88,758.0,1020.0,9567.757983115984,3374.121397422768,5745.383997993424,872,DR
89,790.0,1020.0,9567.757983115984,3375.016152342826,5777.3714863854975,872,DR
90,758.0,1035.0,9565.477996532063,3359.3014846272877,5745.798541008682,872,DR
91,790.0,1035.0,9565.477996532063,3360.1962395473456,5777.786029400755,872,DR
92,758.0,1050.0,9563.198009948144,3344.4815718318073,5746.213084023941,872,DR
93,790.0,1050.0,9563.198009948144,3345.3763267518652,5778.2005724160135,872,DR
94,758.0,1065.0,9560.918023364224,3329.6616590363265,5746.627627039199,872,DR
95,790.0,1065.0,9560.918023364224,3330.5564139563844,5778.615115431272,872,DR
96,758.0,1800.0,9449.19868075214,2603.485932057785,5766.940234786849,795,PAG
97,790.0,1800.0,9449.19868075214,2604.3806869778427,5798.927723178923,795,PAG
98,758.0,1815.0,9446.91869416822,2588.666019262304,5767.3547778021075,795,PAG
